1 2 3 7 0
1 2 3 8 0
1 2 3 14 0
1 2 3 18 0
1 2 3 26 0
1 2 3 30 0
1 2 6 0
1 2 7 10 0
1 2 7 11 0
1 2 7 15 0
1 2 7 16 0
1 2 7 17 0
1 2 7 23 0
1 2 7 27 0
1 2 8 10 0
1 2 8 11 0
1 2 8 15 0
1 2 8 16 0
1 2 8 17 0
1 2 8 23 0
1 2 8 27 0
1 2 10 14 0
1 2 10 18 0
1 2 10 26 0
1 2 10 30 0
1 2 11 14 0
1 2 11 18 0
1 2 11 26 0
1 2 11 30 0
1 2 14 15 0
1 2 14 16 0
1 2 14 17 0
1 2 14 23 0
1 2 14 27 0
1 2 15 18 0
1 2 15 26 0
1 2 15 30 0
1 2 16 18 0
1 2 16 26 0
1 2 16 30 0
1 2 17 18 0
1 2 17 26 0
1 2 18 23 0
1 2 18 27 0
1 2 23 26 0
1 2 23 30 0
1 2 26 27 0
1 2 27 30 0
1 2 29 0
1 3 5 7 0
1 3 5 8 0
1 3 5 14 0
1 3 5 18 0
1 3 5 26 0
1 3 5 29 0
1 3 5 30 0
1 3 6 15 0
1 5 13 23 26 28 0
1 5 13 28 29 0
1 5 14 16 25 28 0
1 5 14 17 0
1 5 14 23 25 28 0
1 5 15 25 26 0
1 5 15 25 29 0
1 5 15 30 0
1 5 16 25 26 28 0
1 5 16 30 0
1 5 17 18 0
1 5 17 26 0
1 5 17 29 0
1 5 21 25 29 0
1 5 23 25 26 28 0
1 5 23 30 0
1 5 25 28 29 0
1 5 27 30 0
1 6 8 0
1 6 14 15 0
1 6 15 19 0
1 6 15 24 0
1 6 15 28 0
1 6 27 0
1 7 8 11 14 25 0
1 7 8 11 20 25 0
1 7 8 11 25 26 0
1 7 8 14 17 0
1 7 8 14 23 25 0
1 7 8 16 17 0
1 7 8 16 25 0
1 7 8 17 20 0
1 7 8 17 26 0
1 7 8 20 23 25 0
1 7 8 23 25 26 0
1 7 11 20 21 25 0
1 7 13 15 0
1 7 13 16 27 0
1 7 13 16 29 0
1 7 13 20 27 0
1 7 13 20 29 0
1 7 13 26 27 0
1 7 13 26 29 0
1 7 14 17 21 0
1 7 14 17 27 0
1 7 14 17 29 0
1 7 14 25 27 0
1 7 14 25 29 0
1 7 15 17 0
1 7 15 25 0
1 7 16 17 21 0
1 7 16 17 27 0
1 7 16 17 29 0
1 7 16 21 25 0
1 7 16 25 27 0
1 7 16 25 29 0
1 7 17 20 21 0
1 7 17 20 27 0
1 7 17 20 29 0
1 7 17 21 26 0
1 7 17 26 27 0
1 7 17 26 29 0
1 7 20 21 23 25 0
1 7 20 25 27 0
1 7 20 25 29 0
1 7 25 26 27 0
1 7 25 26 29 0
1 8 9 14 17 0
1 8 9 15 17 0
1 8 9 16 17 0
1 8 9 17 20 0
1 8 9 17 26 0
1 8 10 18 30 0
1 8 10 28 30 0
1 8 11 14 17 0
1 8 11 14 25 28 0
1 8 11 15 17 0
1 8 11 16 17 0
1 8 11 17 20 0
1 8 11 17 26 0
1 8 11 20 21 25 0
1 8 11 20 25 28 0
1 8 11 25 26 28 0
1 8 11 30 0
1 8 14 17 25 0
1 8 14 17 28 0
1 8 14 23 25 28 0
1 8 15 17 28 0
1 8 15 18 30 0
1 8 15 25 0
1 8 16 17 25 0
1 8 16 17 28 0
1 8 16 18 30 0
1 8 16 21 25 0
1 8 16 25 28 0
1 8 16 28 30 0
1 8 17 20 25 0
1 8 17 20 28 0
1 8 17 25 26 0
1 8 17 26 28 0
1 8 18 23 30 0
1 8 20 21 23 25 0
1 8 20 21 25 27 0
1 8 20 23 25 28 0
1 8 20 25 27 28 0
1 8 23 25 26 28 0
1 8 23 28 30 0
1 9 13 15 19 26 0
1 9 13 15 19 29 0
1 9 13 15 24 26 0
1 9 13 15 24 29 0
1 9 13 15 26 27 0
1 9 13 15 27 29 0
1 9 14 15 17 0
1 9 14 17 21 0
1 9 14 17 27 0
1 9 14 17 29 0
1 9 15 17 26 0
1 9 15 17 29 0
1 9 16 17 29 0
1 9 17 20 29 0
1 9 17 21 26 0
1 9 17 26 27 0
1 9 17 26 29 0
1 11 13 15 19 26 0
1 11 13 15 19 29 0
1 11 13 15 24 26 0
1 11 13 15 24 29 0
1 11 13 15 26 27 0
1 11 13 15 27 29 0
1 11 14 15 17 0
1 11 14 15 30 0
1 11 14 17 21 0
1 11 14 17 27 0
1 11 14 17 29 0
1 11 14 21 25 0
1 11 15 17 26 0
1 11 15 17 29 0
1 11 15 19 30 0
1 11 15 24 30 0
1 11 16 17 29 0
1 11 17 20 29 0
1 11 17 21 26 0
1 11 17 26 27 0
1 11 17 26 29 0
1 11 21 25 26 0
1 11 27 30 0
1 13 15 18 19 0
1 13 15 18 24 0
1 13 15 18 27 0
1 13 15 18 28 0
1 13 15 26 28 0
1 13 15 28 29 0
1 13 16 18 27 28 0
1 13 16 28 29 0
1 13 18 20 27 28 0
1 13 20 28 29 0
1 13 26 27 28 0
1 13 26 28 29 0
1 14 15 17 28 0
1 14 15 18 30 0
1 14 15 25 0
1 14 16 21 25 0
1 14 17 21 25 0
1 14 17 21 28 0
1 14 17 25 27 0
1 14 17 25 29 0
1 14 17 27 28 0
1 14 17 28 29 0
1 14 21 23 25 0
1 14 21 25 27 0
1 14 21 25 29 0
1 14 25 27 28 0
1 14 25 28 29 0
1 15 17 18 0
1 15 17 25 26 0
1 15 17 25 29 0
1 15 17 26 28 0
1 15 17 28 29 0
1 15 18 19 30 0
1 15 18 24 30 0
1 15 19 25 26 0
1 15 19 25 29 0
1 15 21 25 26 0
1 15 21 25 29 0
1 15 25 26 27 0
1 15 25 26 28 0
1 15 25 27 29 0
1 15 25 28 29 0
1 15 28 30 0
1 16 17 18 27 0
1 16 17 18 29 0
1 16 17 25 29 0
1 16 17 28 29 0
1 16 21 25 26 0
1 16 21 25 29 0
1 16 25 28 29 0
1 17 18 20 27 0
1 17 18 20 29 0
1 17 18 26 27 0
1 17 18 26 29 0
1 17 20 25 29 0
1 17 20 28 29 0
1 17 21 25 26 0
1 17 21 26 28 0
1 17 25 26 27 0
1 17 25 26 29 0
1 17 26 27 28 0
1 17 26 28 29 0
1 18 27 30 0
1 20 21 25 29 0
1 20 25 28 29 0
1 21 23 25 26 0
1 21 25 26 27 0
1 21 25 26 29 0
1 25 26 27 28 0
1 25 26 28 29 0
1 27 28 30 0
2 3 7 10 0
2 3 7 13 0
2 3 7 18 0
2 3 7 22 0
2 3 7 24 0
2 3 7 30 0
2 3 8 9 24 0
2 3 8 12 0
2 3 8 13 0
2 3 8 21 24 0
2 3 8 24 25 0
2 3 9 14 24 0
2 3 9 18 0
2 3 9 30 0
2 3 10 26 0
2 3 10 29 0
2 3 12 14 0
2 3 12 26 0
2 3 12 30 0
2 3 13 14 0
2 3 13 18 0
2 3 13 26 0
2 3 13 29 0
2 3 13 30 0
2 3 14 21 24 0
2 3 14 22 0
2 3 14 24 25 0
2 3 17 18 0
2 3 18 21 0
2 3 18 22 0
2 3 18 25 0
2 3 18 26 0
2 3 18 29 0
2 3 21 30 0
2 3 22 26 0
2 3 22 30 0
2 3 24 26 0
2 3 24 29 0
2 3 25 30 0
2 3 26 30 0
2 6 7 0
2 6 9 0
2 6 13 0
2 6 17 0
2 6 22 0
2 6 25 0
2 6 26 0
2 6 29 0
2 7 8 10 0
2 7 8 11 18 0
2 7 8 11 24 0
2 7 8 15 18 0
2 7 8 15 24 0
2 7 8 16 18 0
2 7 8 16 24 0
2 7 8 18 23 0
2 7 8 18 27 0
2 7 8 23 24 0
2 7 8 24 27 0
2 7 10 14 0
2 7 10 21 0
2 7 10 22 0
2 7 10 25 0
2 7 10 30 0
2 7 11 13 21 0
2 7 11 13 25 0
2 7 11 14 18 0
2 7 11 14 24 0
2 7 11 21 24 0
2 7 11 22 0
2 7 11 24 25 0
2 7 11 30 0
2 7 13 16 25 0
2 7 13 17 21 0
2 7 13 17 25 0
2 7 13 21 23 0
2 7 13 21 27 0
2 7 13 23 25 0
2 7 13 25 27 0
2 7 14 15 18 0
2 7 14 15 24 0
2 7 14 16 18 0
2 7 14 16 24 0
2 7 14 18 23 0
2 7 14 18 27 0
2 7 14 23 24 0
2 7 14 24 27 0
2 7 15 21 24 0
2 7 15 22 0
2 7 16 21 24 0
2 7 16 22 0
2 7 16 24 25 0
2 7 16 30 0
2 7 17 21 24 0
2 7 17 22 0
2 7 17 24 25 0
2 7 21 23 24 0
2 7 21 24 27 0
2 7 22 23 0
2 7 22 27 0
2 7 23 24 25 0
2 7 23 30 0
2 7 24 25 27 0
2 8 9 10 0
2 8 9 11 18 0
2 8 9 11 24 0
2 8 9 15 18 0
2 8 9 15 24 0
2 8 9 16 18 0
2 8 9 16 24 0
2 8 9 18 23 0
2 8 9 18 27 0
2 8 9 23 24 0
2 8 9 24 27 0
2 8 10 12 0
2 8 10 13 0
2 8 10 17 0
2 8 10 21 0
2 8 10 22 0
2 8 10 25 0
2 8 10 26 0
2 8 10 29 0
2 8 11 12 0
2 8 11 13 0
2 8 11 18 26 0
2 8 11 21 24 0
2 8 11 22 0
2 8 11 24 25 0
2 8 11 24 26 0
2 8 12 15 0
2 8 12 16 0
2 8 12 17 0
2 8 12 23 0
2 8 12 27 0
2 8 13 15 0
2 8 13 16 0
2 8 13 17 0
2 8 13 23 0
2 8 13 27 0
2 8 13 29 0
2 8 15 18 26 0
2 8 15 21 24 0
2 8 15 22 0
2 8 15 24 26 0
2 8 16 18 26 0
2 8 16 21 24 0
2 8 16 22 0
2 8 16 24 25 0
2 8 16 24 26 0
2 8 17 18 0
2 8 17 24 0
2 8 18 23 26 0
2 8 18 26 27 0
2 8 18 29 0
2 8 21 23 24 0
2 8 21 24 27 0
2 8 22 23 0
2 8 22 27 0
2 8 23 24 25 0
2 8 23 24 26 0
2 8 24 25 27 0
2 8 24 26 27 0
2 8 24 29 0
2 9 10 14 0
2 9 10 30 0
2 9 11 14 18 0
2 9 11 14 24 0
2 9 11 30 0
2 9 14 15 18 0
2 9 14 15 24 0
2 9 14 16 18 0
2 9 14 16 24 0
2 9 14 18 23 0
2 9 14 18 27 0
2 9 14 23 24 0
2 9 14 24 27 0
2 9 15 30 0
2 9 16 30 0
2 9 23 30 0
2 10 12 14 0
2 10 12 18 0
2 10 12 26 0
2 10 12 30 0
2 10 13 14 0
2 10 13 30 0
2 10 14 17 0
2 10 14 21 0
2 10 14 22 0
2 10 14 25 0
2 10 14 26 0
2 10 14 29 0
2 10 18 21 0
2 10 18 22 0
2 10 18 25 0
2 10 21 26 0
2 10 21 29 0
2 10 21 30 0
2 10 22 26 0
2 10 22 30 0
2 10 25 26 0
2 10 25 29 0
2 10 25 30 0
2 10 26 30 0
2 11 12 14 0
2 11 12 18 0
2 11 12 26 0
2 11 13 14 0
2 11 13 25 26 0
2 11 13 30 0
2 11 14 18 26 0
2 11 14 21 24 0
2 11 14 22 0
2 11 14 24 25 0
2 11 14 24 26 0
2 11 18 21 0
2 11 18 22 0
2 11 18 25 0
2 11 21 24 26 0
2 11 22 26 0
2 11 22 30 0
2 11 24 25 26 0
2 11 25 30 0
2 11 26 30 0
2 12 14 15 0
2 12 14 16 0
2 12 14 17 0
2 12 14 23 0
2 12 14 27 0
2 12 15 26 0
2 12 15 30 0
2 12 16 18 0
2 12 16 26 0
2 12 16 30 0
2 12 17 26 0
2 12 18 23 0
2 12 18 27 0
2 12 23 26 0
2 12 23 30 0
2 12 26 27 0
2 12 27 30 0
2 12 29 0
2 13 14 15 0
2 13 14 16 0
2 13 14 17 0
2 13 14 23 0
2 13 14 27 0
2 13 14 29 0
2 13 15 21 26 0
2 13 15 25 26 0
2 13 15 30 0
2 13 16 21 26 0
2 13 16 25 26 0
2 13 16 30 0
2 13 17 21 26 0
2 13 17 25 26 0
2 13 21 23 26 0
2 13 21 26 27 0
2 13 21 29 0
2 13 23 25 26 0
2 13 23 30 0
2 13 25 26 27 0
2 13 25 29 0
2 13 27 30 0
2 14 15 18 26 0
2 14 15 21 24 0
2 14 15 22 0
2 14 15 24 26 0
2 14 16 18 26 0
2 14 16 21 24 0
2 14 16 22 0
2 14 16 24 25 0
2 14 16 24 26 0
2 14 17 18 0
2 14 17 22 0
2 14 17 24 0
2 14 18 23 26 0
2 14 18 26 27 0
2 14 18 29 0
2 14 21 23 24 0
2 14 21 24 27 0
2 14 22 23 0
2 14 22 27 0
2 14 23 24 25 0
2 14 23 24 26 0
2 14 24 25 27 0
2 14 24 26 27 0
2 14 24 29 0
2 15 18 21 0
2 15 18 22 0
2 15 18 25 0
2 15 21 24 26 0
2 15 21 30 0
2 15 22 26 0
2 15 22 30 0
2 15 25 30 0
2 15 26 30 0
2 16 18 21 0
2 16 18 22 0
2 16 18 25 0
2 16 21 24 26 0
2 16 21 30 0
2 16 22 26 0
2 16 22 30 0
2 16 24 25 26 0
2 16 25 30 0
2 16 26 30 0
2 17 18 21 0
2 17 18 22 0
2 17 18 25 0
2 17 21 24 26 0
2 17 22 26 0
2 17 24 25 26 0
2 17 30 0
2 18 21 23 0
2 18 21 27 0
2 18 21 29 0
2 18 22 23 0
2 18 22 27 0
2 18 23 25 0
2 18 25 27 0
2 18 25 29 0
2 21 23 24 26 0
2 21 23 30 0
2 21 24 26 27 0
2 21 24 29 0
2 21 27 30 0
2 22 23 26 0
2 22 23 30 0
2 22 26 27 0
2 22 29 0
2 23 24 25 26 0
2 23 25 30 0
2 23 26 30 0
2 24 25 26 27 0
2 24 25 29 0
2 26 27 30 0
2 29 30 0
3 5 7 10 0
3 5 7 13 0
3 5 7 18 0
3 5 7 22 0
3 5 7 24 0
3 5 7 30 0
3 5 8 9 10 0
3 5 8 9 24 0
3 5 8 10 21 0
3 5 8 10 25 0
3 5 8 12 0
3 5 8 13 0
3 5 8 21 24 0
3 5 8 24 25 0
3 5 9 10 14 0
3 5 9 14 24 0
3 5 9 18 0
3 5 9 30 0
3 5 10 14 21 0
3 5 10 14 25 0
3 5 10 26 0
3 5 10 29 0
3 5 12 14 0
3 5 12 26 0
3 5 12 29 0
3 5 12 30 0
3 5 13 14 0
3 5 13 18 0
3 5 13 26 0
3 5 13 29 0
3 5 13 30 0
3 5 14 21 24 0
3 5 14 22 0
3 5 14 24 25 0
3 5 17 18 0
3 5 18 21 0
3 5 18 22 0
3 5 18 25 0
3 5 18 26 0
3 5 18 29 0
3 5 21 30 0
3 5 22 26 0
3 5 22 30 0
3 5 24 26 0
3 5 24 29 0
3 5 25 30 0
3 5 26 30 0
3 6 9 15 0
3 6 13 15 0
3 6 15 22 0
3 6 15 25 0
3 6 15 26 0
3 6 29 0
3 7 8 10 14 0
3 7 8 10 16 0
3 7 8 10 20 0
3 7 8 10 26 0
3 7 8 13 14 0
3 7 8 13 20 0
3 7 8 13 26 0
3 7 8 14 18 0
3 7 8 14 24 0
3 7 8 16 18 0
3 7 8 16 24 0
3 7 8 18 20 0
3 7 8 20 24 0
3 7 8 24 26 0
3 7 8 30 0
3 7 10 14 21 0
3 7 10 14 27 0
3 7 10 14 29 0
3 7 10 15 0
3 7 10 16 21 0
3 7 10 16 27 0
3 7 10 16 29 0
3 7 10 20 21 0
3 7 10 20 27 0
3 7 10 20 29 0
3 7 10 21 26 0
3 7 10 26 27 0
3 7 10 26 29 0
3 7 12 0
3 7 13 14 21 0
3 7 13 15 0
3 7 13 16 27 0
3 7 13 16 29 0
3 7 13 20 21 0
3 7 13 20 27 0
3 7 13 20 29 0
3 7 13 21 26 0
3 7 13 26 27 0
3 7 13 26 29 0
3 7 14 18 27 0
3 7 14 21 24 0
3 7 14 24 27 0
3 7 14 24 29 0
3 7 15 18 0
3 7 15 22 0
3 7 15 24 0
3 7 16 18 27 0
3 7 16 21 24 0
3 7 16 24 27 0
3 7 16 24 29 0
3 7 18 20 27 0
3 7 20 21 24 0
3 7 20 24 27 0
3 7 20 24 29 0
3 7 21 22 0
3 7 21 24 26 0
3 7 21 30 0
3 7 22 27 0
3 7 24 26 27 0
3 7 24 26 29 0
3 8 9 10 14 0
3 8 9 10 15 0
3 8 9 10 16 0
3 8 9 10 20 0
3 8 9 10 26 0
3 8 9 12 0
3 8 9 13 14 0
3 8 9 13 16 0
3 8 9 13 20 0
3 8 9 13 26 0
3 8 9 14 18 0
3 8 9 14 24 0
3 8 9 15 24 0
3 8 9 16 18 0
3 8 9 16 24 0
3 8 9 18 20 0
3 8 9 20 24 0
3 8 9 24 26 0
3 8 9 30 0
3 8 10 11 15 21 0
3 8 10 11 16 21 0
3 8 10 11 20 21 0
3 8 10 11 26 0
3 8 10 14 25 0
3 8 10 15 21 28 0
3 8 10 16 21 28 0
3 8 10 16 25 0
3 8 10 20 21 28 0
3 8 10 20 25 0
3 8 10 25 26 0
3 8 10 26 28 0
3 8 11 12 0
3 8 11 13 14 0
3 8 11 13 16 0
3 8 11 13 20 0
3 8 11 13 26 0
3 8 11 15 21 24 0
3 8 11 16 21 24 0
3 8 11 20 21 24 0
3 8 11 24 26 0
3 8 12 25 0
3 8 12 28 0
3 8 13 14 18 0
3 8 13 14 25 0
3 8 13 14 28 0
3 8 13 16 18 0
3 8 13 16 25 0
3 8 13 18 20 0
3 8 13 18 30 0
3 8 13 20 25 0
3 8 13 20 28 0
3 8 13 25 26 0
3 8 13 26 28 0
3 8 13 28 30 0
3 8 14 18 25 0
3 8 14 24 25 0
3 8 15 21 24 28 0
3 8 16 18 25 0
3 8 16 21 24 28 0
3 8 16 24 25 0
3 8 18 20 25 0
3 8 18 26 0
3 8 20 21 24 28 0
3 8 20 24 25 0
3 8 22 0
3 8 24 25 26 0
3 8 24 26 28 0
3 8 25 30 0
3 8 26 28 30 0
3 9 10 14 15 0
3 9 10 14 21 0
3 9 10 14 27 0
3 9 10 14 29 0
3 9 10 15 26 0
3 9 10 15 29 0
3 9 10 16 29 0
3 9 10 20 29 0
3 9 10 21 26 0
3 9 10 26 27 0
3 9 10 26 29 0
3 9 12 14 0
3 9 12 26 0
3 9 12 29 0
3 9 12 30 0
3 9 13 14 21 0
3 9 13 14 27 0
3 9 13 14 29 0
3 9 13 15 26 0
3 9 13 15 29 0
3 9 13 16 29 0
3 9 13 20 29 0
3 9 13 21 26 0
3 9 13 26 27 0
3 9 13 26 29 0
3 9 14 15 24 0
3 9 14 18 27 0
3 9 14 21 24 0
3 9 14 24 27 0
3 9 14 24 29 0
3 9 15 18 0
3 9 15 24 26 0
3 9 15 24 29 0
3 9 15 30 0
3 9 16 18 27 0
3 9 16 24 29 0
3 9 18 20 27 0
3 9 20 24 29 0
3 9 21 24 26 0
3 9 21 30 0
3 9 24 26 27 0
3 9 24 26 29 0
3 9 29 30 0
3 10 11 14 21 0
3 10 11 14 29 0
3 10 11 15 26 0
3 10 11 15 29 0
3 10 11 16 29 0
3 10 11 20 29 0
3 10 11 21 26 0
3 10 11 26 27 0
3 10 11 26 29 0
3 10 14 21 28 0
3 10 14 25 27 0
3 10 14 25 29 0
3 10 14 28 29 0
3 10 15 25 26 0
3 10 15 25 29 0
3 10 15 26 28 0
3 10 15 28 29 0
3 10 16 25 29 0
3 10 16 28 29 0
3 10 20 25 29 0
3 10 20 28 29 0
3 10 21 26 28 0
3 10 25 26 27 0
3 10 25 26 29 0
3 10 26 27 28 0
3 10 26 28 29 0
3 11 12 14 0
3 11 12 26 0
3 11 12 29 0
3 11 13 14 27 0
3 11 13 14 29 0
3 11 13 15 26 0
3 11 13 15 29 0
3 11 13 15 30 0
3 11 13 16 29 0
3 11 13 20 29 0
3 11 13 26 27 0
3 11 13 26 29 0
3 11 14 21 24 0
3 11 14 24 29 0
3 11 15 24 26 0
3 11 15 24 29 0
3 11 15 26 30 0
3 11 16 24 29 0
3 11 20 24 29 0
3 11 21 24 26 0
3 11 24 26 27 0
3 11 24 26 29 0
3 11 29 30 0
3 12 14 22 0
3 12 14 25 0
3 12 14 28 0
3 12 18 0
3 12 22 26 0
3 12 22 30 0
3 12 25 26 0
3 12 25 29 0
3 12 25 30 0
3 12 26 28 0
3 12 28 30 0
3 13 14 18 27 0
3 13 14 21 25 0
3 13 14 21 28 0
3 13 14 25 27 0
3 13 14 25 29 0
3 13 15 18 0
3 13 15 25 26 0
3 13 15 25 29 0
3 13 15 26 28 0
3 13 15 28 29 0
3 13 16 18 27 0
3 13 16 25 29 0
3 13 16 28 29 0
3 13 18 20 27 0
3 13 20 25 29 0
3 13 20 28 29 0
3 13 21 25 26 0
3 13 21 26 28 0
3 13 25 26 27 0
3 13 25 26 29 0
3 13 26 27 28 0
3 13 26 28 29 0
3 14 15 22 0
3 14 18 21 0
3 14 18 25 27 0
3 14 18 29 0
3 14 21 22 0
3 14 21 24 25 0
3 14 21 24 28 0
3 14 22 27 0
3 14 24 25 27 0
3 14 24 25 29 0
3 14 24 28 29 0
3 15 17 18 0
3 15 18 21 0
3 15 18 22 0
3 15 18 25 0
3 15 18 26 0
3 15 18 29 0
3 15 22 26 0
3 15 22 30 0
3 15 24 26 28 0
3 15 24 28 29 0
3 15 25 30 0
3 16 17 18 27 0
3 16 18 21 0
3 16 18 25 27 0
3 16 18 29 0
3 16 24 25 29 0
3 16 24 28 29 0
3 17 18 20 27 0
3 18 20 21 0
3 18 20 25 27 0
3 18 20 29 0
3 18 21 22 0
3 18 21 26 0
3 18 21 30 0
3 18 22 27 0
3 18 26 27 0
3 18 26 29 0
3 18 29 30 0
3 20 24 25 29 0
3 20 24 28 29 0
3 21 22 26 0
3 21 22 30 0
3 21 24 25 26 0
3 21 24 26 28 0
3 21 25 30 0
3 21 28 30 0
3 22 26 27 0
3 22 29 0
3 24 25 26 27 0
3 24 25 26 29 0
3 24 26 27 28 0
3 24 26 28 29 0
3 25 29 30 0
5 6 7 0
5 6 9 0
5 6 13 0
5 6 17 0
5 6 22 0
5 6 25 0
5 6 26 0
5 6 29 0
5 7 8 10 13 0
5 7 8 11 13 0
5 7 8 13 23 0
5 7 8 13 27 0
5 7 8 13 29 0
5 7 10 13 14 0
5 7 10 13 21 0
5 7 10 13 22 0
5 7 10 17 21 0
5 7 10 25 0
5 7 10 30 0
5 7 11 13 14 0
5 7 11 13 21 0
5 7 11 13 22 0
5 7 11 13 25 0
5 7 11 18 25 0
5 7 11 22 25 0
5 7 11 24 25 0
5 7 11 30 0
5 7 13 14 16 0
5 7 13 14 23 0
5 7 13 16 22 0
5 7 13 16 25 0
5 7 13 17 21 0
5 7 13 17 25 0
5 7 13 21 23 0
5 7 13 21 27 0
5 7 13 22 23 0
5 7 13 23 25 0
5 7 13 25 27 0
5 7 13 25 29 0
5 7 16 18 25 0
5 7 16 22 25 0
5 7 16 24 25 0
5 7 16 30 0
5 7 17 21 24 0
5 7 17 22 0
5 7 17 24 25 0
5 7 18 23 25 0
5 7 18 25 27 0
5 7 18 25 29 0
5 7 22 23 25 0
5 7 23 24 25 0
5 7 23 30 0
5 7 24 25 27 0
5 7 24 25 29 0
5 8 10 12 21 0
5 8 10 13 21 0
5 8 10 13 28 0
5 8 10 17 0
5 8 10 21 25 0
5 8 10 25 28 0
5 8 11 13 21 0
5 8 11 13 28 0
5 8 11 21 24 25 0
5 8 11 24 25 28 0
5 8 12 15 0
5 8 12 16 21 0
5 8 12 17 0
5 8 12 21 23 0
5 8 12 21 27 0
5 8 13 15 0
5 8 13 16 21 0
5 8 13 17 0
5 8 13 21 23 0
5 8 13 21 27 0
5 8 13 23 28 0
5 8 13 27 28 0
5 8 13 28 29 0
5 8 17 18 0
5 8 17 24 0
5 8 21 23 24 25 0
5 8 21 24 25 27 0
5 8 23 24 25 28 0
5 8 24 25 27 28 0
5 9 10 30 0
5 9 11 30 0
5 9 15 30 0
5 9 16 30 0
5 9 23 30 0
5 10 12 14 21 0
